Crime Classification,Murder,Attempted murder,Robbery,Rape,Attempted rape,Sexual assault,Other sexual offenses,Arson,Theft,Assault,Battery,False imprisonment,Blackmail,Drugging,Other violent acts,Coercion,Hostile behavior,Destruction,Dereliction of duty,Abuse of authority,Bribery,Forgery,Counterfeiting,Document forgery,Securities fraud,Embezzlement,Sex crimes,Gambling offenses,Special economic crimes,Drug offenses,Health-related crimes,Environmental crimes,Traffic offenses,Labor crimes,Security crimes,Election crimes,Military service crimes,Other crimes
Seoul,35,68,118,1200,219,4358,35,217,37594,3353,26509,243,4162,72,1075,1056,10240,353,392,71,172,2033,25,52034,16368,791,4924,545,10374,2821,4260,50,32013,83,61,552,935,48367
Busan,29,24,43,347,83,1064,14,89,13699,2478,8474,66,1402,17,572,503,3730,130,156,17,20,897,7,26847,4469,273,1602,384,3996,856,2581,243,12176,37,13,138,164,24440
Daegu,16,15,31,215,43,648,9,50,9792,1568,5629,41,933,7,277,189,2716,64,47,7,27,459,3,14836,2643,106,1125,138,1917,306,777,16,12610,19,6,128,207,8821
Incheon,14,38,30,340,61,1030,16,70,8895,1545,8040,100,1411,18,501,591,3089,95,78,21,29,581,0,16652,4175,184,1507,239,3025,1062,1048,87,11926,14,7,104,400,17865
Gwangju,1,2,10,152,32,391,8,35,5204,641,3430,33,424,8,196,113,1457,31,64,11,10,319,1,8249,1666,112,577,102,1332,129,431,7,7827,9,4,104,109,5177
Daejeon,6,11,17,200,34,500,2,40,6034,831,4166,31,595,2,211,232,1696,33,51,13,7,336,0,11734,1456,105,733,181,1226,101,303,23,6389,21,4,50,68,5758
Ulsan,8,7,10,112,14,311,10,28,3283,683,2574,35,397,5,198,71,1079,18,19,7,1,206,0,5615,759,72,449,248,794,107,347,29,5754,1,4,50,64,4016
Sejong,2,3,2,26,6,73,1,8,1110,119,400,3,86,2,25,25,250,26,21,1,3,70,0,1528,248,13,120,13,169,29,60,7,1031,0,2,14,20,1009
Gyeonggi Goyang,6,8,4,63,13,241,4,19,2484,267,2414,18,450,10,119,68,860,5,24,2,11,182,2,5201,1737,63,465,36,956,119,240,46,3967,21,0,23,126,3852
Gyeonggi Gwacheon,0,0,0,2,0,10,0,0,212,22,95,0,16,0,3,1,37,23,21,2,0,17,1,260,81,12,16,12,43,3,16,0,386,0,0,14,4,277
Gyeonggi Gwangmyeong,2,2,4,17,3,76,2,2,932,117,788,5,123,1,44,42,336,4,2,1,2,35,0,1467,319,14,142,11,238,28,59,9,928,1,0,10,18,1218
Gyeonggi Gwangju,0,3,1,18,2,81,0,5,978,130,1181,9,230,1,36,38,542,2,3,1,3,64,0,1911,349,25,122,19,344,34,120,42,2328,4,0,9,42,1453
Gyeonggi Guri,1,1,1,15,1,38,0,3,478,54,426,2,60,2,21,5,183,4,6,1,1,36,0,749,268,13,98,4,143,27,53,7,1360,0,0,16,25,878
Gyeonggi Gunpo,2,0,0,23,0,59,0,6,753,119,549,1,88,0,10,38,249,6,3,2,2,22,1,1207,200,9,120,12,382,14,50,0,785,1,1,11,18,751
Gyeonggi Gimpo,1,4,2,34,3,97,1,7,1461,122,1200,11,178,4,44,55,514,3,6,1,4,74,0,1829,659,37,174,23,420,62,72,7,2739,0,0,6,45,2240
Gyeonggi Namyangju,3,5,6,40,5,118,0,11,1420,242,1241,13,216,2,58,54,563,13,22,2,9,126,0,2967,691,56,271,30,432,92,85,43,2724,2,1,9,109,2667
Gyeonggi Dongducheon,1,1,0,12,1,45,0,3,345,81,276,4,52,1,25,13,144,2,2,0,0,30,0,595,124,3,44,3,89,18,15,6,377,0,0,8,14,486
Gyeonggi Bucheon,4,3,11,93,18,292,1,26,3423,324,2438,18,457,7,133,153,1172,31,38,1,3,150,0,5611,1161,27,419,58,939,89,271,12,3903,5,1,28,70,3883
Gyeonggi Seongnam,5,6,13,69,19,269,6,11,3050,429,2194,22,403,8,96,118,953,11,45,10,22,130,1,4169,1000,45,437,58,946,73,332,7,4106,5,1,90,82,4112
Gyeonggi Suwon,6,7,8,144,25,394,10,27,4704,390,3309,30,589,5,160,246,1599,33,67,5,10,250,2,6593,1440,53,639,647,946,211,338,12,5837,11,3,45,109,4988
Gyeonggi Siheung,1,7,8,51,12,146,3,11,1861,212,1425,16,314,3,44,55,786,11,8,0,1,104,0,3101,567,20,201,55,525,99,165,72,4071,6,2,21,48,2317
Gyeonggi Ansan,5,6,9,80,14,236,3,26,2862,323,2251,19,350,6,134,93,1104,15,22,3,3,137,2,4079,731,43,399,48,717,144,211,105,4518,1,1,21,52,3036
Gyeonggi Anseong,2,3,6,24,1,62,2,5,629,150,587,2,88,1,21,20,288,2,7,0,1,46,0,1002,225,10,73,23,148,42,92,4,1364,2,1,26,28,920
Gyeonggi Anyang,1,4,3,35,7,148,4,12,1593,216,1180,12,227,4,58,30,550,16,28,0,2,73,0,2320,674,33,205,64,552,64,158,2,2072,0,0,30,66,1763
Gyeonggi Yangju,1,0,4,20,3,50,1,4,423,83,550,3,83,0,22,20,208,3,4,1,2,34,0,1245,203,13,61,17,168,35,72,66,1212,1,1,14,42,1086
Gyeonggi Yeoju,1,2,1,10,2,31,1,5,308,72,245,2,69,1,8,25,132,4,4,1,0,26,0,739,89,6,31,5,65,36,17,13,795,0,0,4,9,543
Gyeonggi Osan,2,1,1,35,3,69,2,4,875,138,633,3,101,1,22,62,326,6,7,0,0,49,0,1377,264,9,124,12,193,31,59,14,1149,3,0,7,20,1005
Gyeonggi Yongin,4,9,1,64,15,185,2,17,2724,220,1916,13,319,8,69,142,791,15,18,7,3,169,0,3973,775,70,344,36,594,106,136,111,3981,3,4,29,106,4180
Gyeonggi Uiwang,2,0,2,7,0,16,1,1,219,43,179,4,44,0,4,17,49,19,18,0,0,17,0,580,69,7,56,7,57,21,11,1,623,0,0,8,10,395
Gyeonggi Uijeongbu,1,5,4,73,6,154,0,6,1234,168,1367,20,219,2,65,106,587,11,15,23,5,77,1,3155,725,22,216,41,449,100,89,7,1837,1,45,13,43,1834
Gyeonggi Ichon,2,3,0,16,4,64,0,3,739,103,624,4,116,0,55,26,322,10,8,1,3,42,1,1267,203,8,77,9,176,49,45,41,1495,1,0,13,41,862
Gyeonggi Paju,1,3,3,46,10,125,2,8,1207,161,1249,16,203,4,39,39,521,4,6,0,5,87,2,3184,653,42,224,23,489,58,100,79,2267,3,3,12,63,1842
Gyeonggi Pyeongtaek,3,5,6,67,7,177,3,22,2344,313,1912,9,300,1,84,129,936,13,11,4,4,118,0,4368,611,45,290,38,591,127,229,168,5276,8,2,16,56,5779
Gyeonggi Pocheon,1,1,0,15,1,48,1,7,418,97,346,2,56,1,17,13,184,6,6,2,2,34,0,901,118,6,57,17,116,81,17,92,1042,1,0,8,24,689
Gyeonggi Hanam,1,3,5,22,4,50,1,5,786,36,566,5,93,2,27,41,284,9,8,2,1,35,0,1501,557,11,109,23,200,42,74,14,1121,1,1,4,23,919
Gyeonggi Hwaseong,6,5,4,53,10,186,1,16,2512,282,2153,12,400,2,90,107,808,21,22,1,2,147,0,3670,697,62,296,49,718,147,193,464,4615,7,3,12,56,3350
Gangwon Gangneung,2,3,2,30,8,72,1,3,632,169,482,2,84,1,29,21,252,3,9,1,1,46,2,1054,208,17,72,9,118,10,79,2,1340,1,3,7,25,831
Gangwon Donghae,2,1,4,3,2,17,0,1,222,75,250,0,32,0,19,10,123,3,0,1,1,8,0,255,54,1,19,8,73,10,26,12,312,1,0,5,14,522
Gangwon Samcheok,1,0,2,8,1,20,0,2,222,58,154,0,32,0,8,5,94,2,1,1,0,6,0,352,56,3,12,8,45,6,19,5,338,2,0,3,1,353
Gangwon Sokcho,0,0,1,15,1,32,1,1,239,72,284,4,54,0,16,10,126,1,3,0,7,18,0,859,83,4,41,12,105,12,50,6,423,1,0,5,6,423
Gangwon Wonju,3,0,1,35,8,80,3,7,1250,207,686,7,130,6,54,25,466,5,4,0,1,78,1,2450,262,22,133,20,253,63,123,13,2034,3,2,29,32,1505
Gangwon Chuncheon,2,2,4,35,8,74,1,9,857,146,611,4,131,2,40,60,325,10,12,0,3,79,0,1582,178,13,109,41,211,85,100,7,1577,1,0,15,7,1193
Gangwon Taebaek,0,1,0,5,0,12,2,2,90,39,92,0,17,0,7,2,42,0,0,0,0,5,0,193,16,3,11,3,34,8,6,0,200,0,0,5,3,146
Chungcheongbuk Jecheon,0,2,2,18,0,34,1,3,383,112,255,3,39,1,10,6,139,3,1,2,1,20,0,603,81,6,39,10,67,19,42,0,664,1,0,12,9,439
Chungcheongbuk Cheongju,5,8,19,103,13,257,4,22,3435,603,1756,15,308,13,118,176,1033,18,12,1,4,165,0,5676,703,38,329,68,626,105,249,8,4297,2,0,26,41,3097
Chungcheongbuk Chungju,0,2,0,28,2,63,3,4,758,80,413,5,93,1,28,32,251,4,12,1,0,43,0,1317,139,6,71,19,268,103,65,8,1266,1,0,13,12,732
Chungcheongnam Gyeryong,0,1,0,5,1,5,0,1,75,17,22,0,7,0,3,4,23,0,1,0,3,4,0,103,18,2,5,0,8,1,3,1,85,0,0,1,2,57
Chungcheongnam Gongju,0,0,0,7,9,17,0,7,332,84,124,1,46,0,14,18,105,2,2,0,1,24,0,553,78,11,32,5,58,45,18,4,647,2,1,4,4,385
Chungcheongnam Nonsan,0,1,0,13,1,22,2,2,383,90,188,0,30,1,17,14,119,5,14,1,1,36,0,800,67,9,18,19,71,12,10,4,698,1,0,6,19,511
Chungcheongnam Dangjin,1,4,1,19,4,51,0,6,409,81,388,3,73,0,25,15,188,4,4,0,0,26,0,667,119,18,43,18,116,30,20,2,1371,1,0,5,11,1089
Chungcheongnam Buyeo,1,0,1,25,1,31,0,2,253,71,172,3,39,0,26,9,96,2,0,0,0,18,0,444,79,8,26,6,72,30,62,3,742,3,1,2,4,1066
Chungcheongnam Seosan,4,2,5,12,0,58,1,6,520,93,400,5,80,0,17,27,234,1,2,1,0,38,0,952,126,14,59,10,128,45,30,3,1045,0,0,8,4,656
Chungcheongnam Asan,3,7,3,38,3,86,1,5,1263,175,593,8,132,4,59,20,311,4,4,0,3,65,0,1421,257,21,112,12,280,33,66,4,1841,1,1,10,23,1327
Chungcheongnam Cheonan,4,13,12,95,12,213,3,8,3069,368,1329,21,245,0,86,99,794,13,17,4,2,148,0,5409,789,49,347,58,595,115,208,88,3888,2,1,39,34,2681
Jeollabuk-do Gunsan,2,5,2,26,4,68,0,9,884,148,557,1,98,0,47,35,281,8,10,1,6,47,0,2127,198,17,102,26,385,18,63,5,1350,277,0,20,20,3596
Jeollabuk-do Gimje,2,3,2,3,2,12,0,3,166,56,166,3,29,0,7,13,41,4,5,1,0,13,0,377,46,6,12,5,81,3,8,4,398,0,0,3,2,236
Jeollabuk-do Namwon,0,1,0,5,0,13,2,0,232,43,196,2,37,0,17,7,71,1,2,0,2,24,0,475,48,2,17,7,39,7,19,1,321,0,1,9,1,272
Jeollabuk-do Iksan,1,3,3,24,2,58,1,5,969,99,753,3,84,1,43,21,227,10,1,2,1,39,1,2178,205,18,81,33,132,19,52,3,1146,0,2,16,30,946
Jeollabuk-do Jeonju,6,3,3,81,9,190,1,20,2185,315,1252,15,208,2,94,93,555,47,36,2,3,163,0,4178,505,30,302,34,429,32,190,17,2912,2,2,17,34,2621
Jeollabuk-do Jeungpyeong,1,1,0,12,1,21,0,2,546,91,128,2,32,0,21,6,113,3,19,1,1,20,0,581,56,2,25,7,69,15,32,4,550,0,1,7,6,344
Jeollanam-do Gwangyang,2,1,1,14,1,23,0,2,446,127,314,3,80,0,18,7,144,1,4,1,0,24,0,911,82,13,54,11,95,11,56,11,940,0,0,17,7,476
Jeollanam-do Naju,0,0,0,15,1,32,0,0,418,59,195,2,42,1,13,13,144,3,6,0,1,30,0,394,71,6,41,3,81,20,20,2,516,1,0,9,2,354
Jeollanam-do Mokpo,2,2,2,36,9,80,1,7,1287,161,854,17,157,2,73,13,237,11,14,1,0,66,0,1716,244,18,112,31,233,29,117,20,1577,4,1,71,23,2901
Jeollanam-do Suncheon,2,2,7,31,8,67,1,6,966,219,747,5,135,1,51,41,350,7,14,0,1,48,0,1530,226,17,95,14,156,38,110,5,1347,2,0,21,8,978
Jeollanam-do Yeosu,3,2,0,21,6,72,3,8,809,197,652,5,155,2,37,53,355,8,8,2,0,168,0,1695,249,19,62,14,208,33,106,74,1847,3,0,30,21,3629
Gyeongsangbuk Gyeongsan,0,1,2,33,10,51,1,4,1014,149,535,9,115,1,38,14,390,7,3,1,0,59,0,1444,354,10,129,16,199,26,77,0,1327,1,0,13,35,950
Gyeongsangbuk Gyeongju,0,1,1,21,2,65,2,5,1208,193,441,3,71,2,46,21,301,2,2,0,3,42,0,1497,300,18,58,12,349,54,55,65,1443,9,0,5,14,1272
Gyeongsangbuk Gumi,3,3,3,42,6,72,1,11,1744,197,989,5,162,1,62,77,435,5,7,3,2,61,0,3150,292,17,194,16,366,59,134,4,2371,1,1,14,67,1314
Gyeongsangbuk Gimcheon,1,1,0,11,3,20,0,6,493,84,206,0,59,0,9,18,154,5,4,6,0,19,0,600,120,11,32,9,92,19,43,23,682,0,0,15,15,493
Gyeongsangbuk Mungyeong,0,1,0,2,0,8,0,1,180,58,85,1,21,0,5,3,55,0,9,1,1,17,0,253,27,13,11,3,46,13,17,3,251,1,0,9,1,175
Gyeongsangbuk Sangju,0,1,0,6,1,14,0,4,350,74,110,1,23,0,22,11,103,1,3,0,0,28,0,440,48,5,13,0,46,16,16,18,433,0,0,13,7,316
Gyeongsangbuk Andong,2,0,0,13,2,38,0,10,443,103,348,3,83,0,22,8,197,6,6,0,3,24,0,839,84,10,68,13,101,37,29,8,742,1,1,23,9,517
Gyeongsangbuk Yeongju,0,0,1,14,5,20,0,1,246,83,174,2,39,1,16,4,86,2,2,0,0,18,0,468,48,0,19,13,50,19,14,0,441,1,0,7,2,294
Gyeongsangbuk Yecheon,1,1,1,6,2,19,0,4,283,92,274,2,32,0,7,6,125,4,8,0,0,16,0,459,79,9,28,8,67,16,11,2,663,0,0,6,14,407
Gyeongsangbuk Pohang,3,4,3,65,7,126,5,14,2508,347,726,14,107,0,76,44,525,12,12,2,0,73,0,3206,304,21,162,23,273,29,122,43,2478,5,1,17,33,3224
Gyeongsangnam Geojedo,2,1,3,29,3,59,0,2,794,185,525,10,106,2,25,20,281,3,0,0,0,41,0,1519,186,11,73,21,163,27,112,22,1239,2,0,15,11,1894
Gyeongsangnam Gimhae,0,8,4,44,7,118,1,13,2757,387,1084,8,195,3,57,88,548,5,2,7,0,153,0,3296,440,38,175,26,408,139,182,188,2710,8,3,13,38,2128
Gyeongsangnam Miryang,1,2,1,6,0,23,1,5,308,121,168,1,55,0,20,13,102,2,2,0,0,27,0,568,44,7,27,2,55,23,71,36,574,1,0,3,8,401
Gyeongsangnam Sacheon,2,0,1,12,2,25,1,5,342,113,246,3,54,0,17,7,107,1,0,0,0,19,0,625,51,7,34,6,66,18,54,46,751,1,0,18,4,527
Gyeongsangnam Yangsan,1,3,0,36,3,66,0,4,1158,221,803,3,141,1,47,50,302,8,18,3,0,62,0,2055,265,17,126,23,277,51,93,7,1573,6,0,25,25,1348
Gyeongsangnam Jinju,2,1,0,41,2,97,1,10,2114,251,800,9,127,5,33,59,387,4,10,2,1,57,1,2583,231,17,112,7,376,55,104,31,1376,7,1,16,13,1286
Gyeongsangnam Changwon,5,11,12,77,14,232,5,24,3426,635,2289,18,311,1,127,126,1095,14,14,7,2,184,0,7204,1069,70,391,53,796,226,291,71,4023,5,1,53,56,5339
Gyeongsangnam Tongyeong,0,1,5,19,4,38,2,5,387,134,334,0,61,0,47,21,155,15,5,0,0,28,0,1193,117,9,39,9,114,62,68,33,825,0,0,7,9,3261
Jeju Seogwipo,1,4,1,17,8,84,0,9,886,213,625,4,109,0,56,28,374,0,4,0,0,35,0,1599,225,12,82,13,186,7,47,11,1382,9,2,21,12,1455
Jeju Jeju,3,4,4,78,13,201,3,20,2247,351,2169,21,386,1,97,72,881,16,19,1,2,146,1,3996,646,52,216,49,595,44,170,21,3052,27,1,29,27,3575
